262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;778;251740;7238320;F;I;I;2;169
0;1040;248420;7234420;M;C;I;2;170
0;991;252240;7239200;M;A;I;2;171
0;1021;249220;7239640;M;C;I;2;172
0;127;247540;7236760;F;C;I;2;173
0;889;247640;7236900;F;C;I;2;174
20;109;255090;7239360;M;C;I;2;175
0;1528;253700;7240540;F;J;I;2;176
0;1240;250020;7234020;M;C;I;2;177
0;1153;253160;7236340;M;C;I;2;178
0;109;251760;7236700;F;I;I;2;179
0;778;250440;7235040;F;A;I;2;180
0;1338;251160;7233100;F;C;I;2;181
0;746;251600;7233000;M;A;I;2;182
0;983;249140;7237200;M;C;I;2;183
0;1153;253160;7236340;F;C;I;2;184
0;348;246460;7237160;M;C;I;2;185
0;1389;251880;7237860;F;C;I;2;186
0;88;257140;7237320;F;A;I;2;191
0;1487;249740;7237540;M;I;I;2;193
2;171;251280;7237140;F;A;I;2;194
0;1606;250580;7237260;M;J;I;2;195
0;804;254880;7240300;F;C;I;2;196
0;1556;249980;7238700;M;A;I;2;198
0;1074;252940;7236060;F;A;I;2;200
0;1436;251220;7235420;M;C;I;2;201
0;1214;251940;7238060;M;A;I;2;203
0;1154;252600;7235720;M;J;I;2;204
2;149;251850;7238010;F;C;I;2;205
0;917;249340;7239720;F;A;I;2;206
3;88;248130;7237440;M;J;I;2;210
0;425;249840;7235600;F;C;I;2;212
0;1271;253900;7242160;F;A;I;2;213
